x,y,z
1895,2319,567
2215,2495,583
2487,2719,487
2735,2934,431
2942,3142,311
3086,3326,255
3214,3398,119
3326,3510,-39
3398,3502,-183
3454,3478,-279
3454,3430,-383
3422,3270,-511
3342,3166,-559
3254,2998,-679
3094,2799,-727
2895,2655,-735
2623,2495,-775
2415,2351,-871
2103,2223,-903
1783,2031,-983
1495,1959,-999
1159,1839,-1087
759,1783,-1279
671,1543,-1223
391,1639,-1311
183,1567,-1391
0,1487,-1463
-103,1503,-1495
-215,1463,-1567
-295,1399,-1623
-351,1383,-1695
-367,1319,-1703
-367,1215,-1735
-311,1151,-1775
-255,1023,-1791
-151,927,-1727
-31,807,-1695
55,727,-1687
207,591,-1647
287,447,-1647
415,319,-1615
511,151,-1575
647,23,-1567
743,-143,-1527
799,-279,-1527
863,-383,-1471
943,-487,-1407
1015,-575,-1375
1031,-671,-1279
1071,-711,-1263
1103,-759,-1231
1055,-799,-1159
1047,-815,-1119
999,-815,-1095
975,-775,-1055
1111,55,-991
1247,23,-1119
1439,23,-1327
1655,111,-1535
1919,223,-1671
2247,455,-1783
2511,703,-1791
2815,927,-1807
3070,1215,-1759
3374,1471,-1679
3542,1767,-1679
3718,2007,-1607
3846,2263,-1591
3974,2503,-1527
4054,2671,-1527
4094,2815,-1471
4110,2879,-1439
4142,2966,-1415
4094,2982,-1287
4062,3006,-1119
3982,2958,-935
3902,2950,-671
3814,2799,-487
3702,2575,-255
3582,2303,-63
3390,1967,135
3238,1599,391
3086,1319,535
2950,1055,687
2839,823,823
2727,591,959
2623,479,1111
2527,311,1191
2399,303,1303
2319,191,1327
2159,143,1391
1975,119,1359
1807,135,1343
1639,151,1343
1471,207,1319
1303,287,1287
1119,319,1239
983,359,1191
839,455,1167
687,503,1119
567,599,1071
399,655,1039
319,703,1015
231,743,1023
119,735,967
47,711,927
-47,703,879
-127,743,847
-191,703,815
-223,679,823
-263,655,767
-335,591,759
-375,575,767
-447,559,735
-511,511,711
-543,511,679
-583,455,639
-639,439,623
-671,399,623
-671,391,575
-655,391,647
-639,383,639
-607,415,663
-551,399,679
-511,335,599
-495,455,655
-471,439,623
-447,479,607
-463,487,607
-503,543,583
-487,535,495
-511,543,479
-495,527,463
-519,559,447
-535,551,383
-551,575,391
-519,575,391
-511,583,351
-527,583,391
-511,599,375
-487,599,399
-487,575,391
-439,599,423
-415,551,407
-391,527,415
-367,543,431
-359,535,463
-343,495,431
-375,479,399
-327,503,487
-327,463,495
-343,447,511
-399,471,575
-359,447,527
-367,551,647
-319,631,639
-191,799,735
-47,959,743
199,1143,775
479,1383,839
823,1663,863
1263,1935,855
1807,2247,879
2231,2567,911
2695,2671,895
3126,3086,903
3646,3390,951
4086,3622,847
4398,3782,751
4670,3878,599
4822,3862,399
4798,3766,215
4710,3614,0
4574,3462,-191
4382,3246,-263
4150,3070,-447
3966,2815,-551
3750,2615,-623
3558,2407,-695
3326,2207,-767
3182,2007,-823
2950,1879,-903
2759,1767,-895
2575,1671,-927
2343,1551,-983
2159,1439,-999
1935,1319,-1031
1727,1207,-1111
1479,1087,-1151
1287,1031,-1151
1079,935,-1191
871,855,-1175
735,807,-1207
519,727,-1231
407,663,-1255
279,543,-1279
143,479,-1335
87,407,-1343
7,287,-1351
-71,199,-1415
-103,103,-1439
-127,15,-1503
-87,-39,-1471
-39,-143,-1511
0,-215,-1495
31,-279,-1479
127,-327,-1535
239,-375,-1447
303,-415,-1431
439,-455,-1431
527,-431,-1359
663,-439,-1343
767,-415,-1287
855,-415,-1223
959,-383,-1191
1071,-375,-1119
1151,-327,-1087
1199,-263,-1023
1207,-231,-927
1223,-223,-935
1215,-151,-855
1207,-87,-807
1191,-39,-823
1135,0,-775
1175,39,-775
1159,103,-711
1135,175,-671
1151,239,-639
1175,271,-647
1183,335,-631
1247,383,-615
1279,455,-599
1375,511,-615
1415,519,-599
1479,559,-559
1527,535,-591
1535,487,-655
1591,479,-671
1655,455,-687
1703,455,-703
1727,423,-767
1807,407,-823
1895,407,-887
1951,447,-999
2119,519,-1039
2303,607,-1111
2519,823,-1087
2767,1023,-1023
2942,1247,-967
3086,1399,-895
3222,1567,-839
3254,1639,-823
3262,1775,-767
3278,1807,-663
3198,1791,-583
3118,1823,-455
3030,1839,-439
2903,1895,-311
2735,1919,-191
2559,1871,-135
2383,1847,-23
2183,1791,31
2007,1703,103
1815,1615,223
1631,1527,271
1447,1407,439
1223,1327,591
1055,1191,735
855,1063,831
631,975,871
423,871,815
215,839,863
79,775,815
-79,759,759
-191,743,719
-263,735,687
-351,679,679
-399,711,599
-399,663,599
-399,623,591
-383,591,647
-359,575,639
-351,479,639
-319,495,647
-295,439,727
-271,479,767
-263,431,767
-271,415,807
-311,375,799
-351,351,839
-375,279,887
-415,247,871
-479,199,895
-519,151,879
-503,111,903
